Category;Name;Quantity;Price USD;Price EUR;Sku;Item Type;Description
Accessories;Hype Pocket Stylus Per stuk;5;3.06;107;329;Inventory;Hype HY-3101-S-3PK 3.5mm Pocket Stylus Per Stuk
Accessories;Anti-Theft Tablet Stand;1;86.66;3033;424;Inventory;"Anti-Theft Grip- CTA Adjustable Grip and Stand for iPad 10th Gen 10.9"" - iPad 10.2"" 7th/8th/9th Gen - iPad Air 4 - iPad Pro 11-12.9"" - iPad Pro - Surface Go 3 & 9.7-14” Tablets - Black (PAD-ATGSL)"
Accessories;Klip Gell Keyboard Pad;3;19.69;689;206;Inventory;Klip Xtreme Gel-filled Keyboard wrist pad
Accessories;Adesso Mouse Pad w/Wrist Rest;1;20.69;724;237;Inventory;"Adesso TRUFORM P200 - Memory Foam Mouse Pad with Wrist Rest - 0.90"" x 9.70"" x 7.70"" Dimension - Black - Memory Foam, Thermoplastic Polyurethane (TPU), Fiber, Rubber Base - Anti-slip BLACK HIGH DENSITY MEMORY FOAM"
Accessories;Universal Desktop Lock;4;3.66;128;792;Inventory;CODi Flex-Head Desktop Lock - Perfect for securing multiple desktop or mobile devices
Accessories;iPad Pro 10.5 Screen Protector;2;7.4;259;151;Inventory;iPad Pro 10.5 Screen Protector
Accessories;Logisys FP302BK USB 3.0;4;15.17;531;768;Inventory;"Logisys FP302BK SuperSpeed USB 3.0 & 2.0 3.5"" Bay Panel"
Accessories;90mm Fan Grill Guard;8;3.06;107;248;Inventory;90x90mm Fan Grill Guard
Accessories;iPad Screen Protector;22;7.4;259;153;Inventory;iPad 3 Screen Protector
Accessories;"3.5"" 7-in-1 Int. Card Reader";1;18.83;659;5;Inventory;"3.5"" 7-in-1 Internal Card Green Box Black"
